Date,Open,High,Low,Close,Stock
01/02/20,3244.67,3258.14,3235.53,3257.85,SPX
01/02/20,28638.97,28872.8,28627.77,28868.8,DJIA
01/02/20,58.86,59.32,58.86,59.14,CAC
01/02/23,64.37,65.05,64.28,65.01,CAC
01/02/24,74.85,75.05,73.78,74.28,CAC
01/02/24,37566.22,37790.08,37495.91,37715.04,DJIA
01/02/24,4745.2,4754.33,4722.67,4742.83,SPX
01/03/20,3226.36,3246.15,3222.34,3234.85,SPX
01/03/20,59.0,59.16,58.7,59.16,CAC
01/03/20,28553.33,28716.31,28500.36,28634.88,DJIA
01/03/22,36321.59,36595.82,36246.45,36585.06,DJIA
01/03/22,70.85,71.29,70.83,71.03,CAC
01/03/22,4778.14,4796.64,4758.17,4796.56,SPX
01/03/23,3853.29,3878.46,3794.33,3824.14,SPX
01/03/23,64.99,66.07,64.99,65.38,CAC
01/03/23,33148.9,33387.52,32850.57,33136.37,DJIA
01/03/24,4725.07,4729.29,4699.71,4704.81,SPX
01/03/24,37629.23,37629.23,37401.85,37430.19,DJIA
01/03/24,74.21,74.29,72.79,73.07,CAC
01/04/21,3764.61,3769.99,3662.71,3700.65,SPX
01/04/21,55.34,55.66,54.79,54.99,CAC
01/04/21,30627.47,30674.28,29881.82,30223.89,DJIA
01/04/22,36636.0,36934.84,36636.0,36799.65,DJIA
01/04/22,4804.51,4818.62,4774.27,4793.54,SPX
01/04/22,71.43,72.14,71.36,71.98,CAC
01/04/23,3840.36,3873.16,3815.77,3852.97,SPX
01/04/23,33165.14,33409.1,33033.48,33269.77,DJIA
01/04/23,65.85,66.8,65.78,66.79,CAC
01/04/24,37425.28,37716.41,37425.28,37440.34,DJIA
01/04/24,4697.42,4726.78,4687.53,4688.68,SPX
01/04/24,73.29,73.59,73.08,73.48,CAC
01/05/21,54.83,55.07,54.4,54.7,CAC
01/05/21,3698.02,3737.83,3695.07,3726.86,SPX
01/05/21,30204.25,30504.89,30141.78,30391.6,DJIA
01/05/22,72.06,72.63,71.98,72.53,CAC
01/05/22,4787.99,4797.7,4699.44,4700.58,SPX
01/05/22,36722.6,36952.65,36400.39,36407.11,DJIA
01/05/23,66.45,66.95,66.31,66.65,CAC
01/05/23,33191.72,33191.72,32812.33,32930.08,DJIA
01/05/23,3839.74,3839.74,3802.42,3808.1,SPX
01/05/24,72.86,73.39,72.54,73.19,CAC
01/05/24,37455.46,37623.62,37323.82,37466.11,DJIA
01/05/24,4690.57,4721.49,4682.11,4697.24,SPX
01/06/20,28465.5,28708.02,28418.63,28703.38,DJIA
01/06/20,3217.55,3246.84,3214.64,3246.28,SPX
01/06/20,58.8,58.96,58.35,58.92,CAC
01/06/21,55.07,55.55,54.62,55.35,CAC
01/06/21,3712.2,3783.04,3705.34,3748.14,SPX
01/06/21,30362.78,31022.65,30313.07,30829.4,DJIA
01/06/22,71.71,71.95,71.2,71.31,CAC
01/06/22,36409.05,36464.19,36200.68,36236.47,DJIA
01/06/22,4693.39,4725.01,4671.26,4696.05,SPX
01/06/23,3823.37,3906.19,3809.56,3895.08,SPX
