LOAD,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,heure,date
125.8,43,46,40,47,48,46,44,52,45,42,48,48,45,53,47,50,39,50,45,50,47,41,47,47,45,0,2005-01-01
121.8,41,46,38,46,48,45,51,50,42,41,47,48,45,53,47,48,41,49,46,47,47,45,47,47,45,1,2005-01-01
117,40,46,37,45,45,45,49,48,43,40,48,41,46,52,47,46,43,50,45,45,46,45,46,46,43,2,2005-01-01
114.4,39,46,37,47,48,48,45,50,42,39,47,46,45,52,47,46,43,49,43,45,44,45,47,47,44,3,2005-01-01
113.6,38,46,37,44,48,49,43,50,42,38,46,46,46,51,46,45,43,49,43,43,45,45,47,46,44,4,2005-01-01
116.1,37,45,36,45,48,48,40,50,40,37,45,43,45,50,47,45,39,45,46,41,48,46,44,46,42,5,2005-01-01
121,37,45,37,45,48,44,41,46,41,37,46,43,45,50,48,45,39,44,45,44,47,45,47,47,42,6,2005-01-01
127.8,36,43,37,43,48,48,43,46,40,36,45,45,46,51,45,46,39,51,45,47,49,46,45,47,41,7,2005-01-01
135,36,52,38,49,48,51,51,52,43,35,49,48,50,54,50,49,43,53,52,51,51,54,48,48,48,8,2005-01-01
134.4,44,55,43,55,55,55,56,59,51,45,57,54,56,55,55,55,54,58,57,56,55,55,53,54,53,9,2005-01-01
128.7,51,61,54,59,61,59,62,64,62,52,61,55,63,56,63,57,55,61,66,61,59,59,58,61,57,10,2005-01-01
121.9,56,66,60,63,70,62,64,66,63,58,66,57,68,57,67,64,63,64,70,63,63,64,66,65,62,11,2005-01-01
113,61,66,64,67,70,66,66,68,63,63,69,63,68,57,71,68,66,63,70,67,65,70,68,69,65,12,2005-01-01
106.4,64,66,66,67,70,66,68,70,64,67,70,66,69,56,73,70,66,61,70,68,66,72,69,72,68,13,2005-01-01
101.1,66,72,66,68,70,64,69,70,64,69,70,68,69,56,72,69,66,62,70,70,68,73,68,71,69,14,2005-01-01
97.6,66,66,65,68,70,61,68,70,63,70,70,68,70,56,71,67,66,60,70,69,65,72,67,72,69,15,2005-01-01
98.8,66,63,64,65,68,59,61,68,63,71,67,64,66,54,65,64,66,55,70,65,60,64,66,68,62,16,2005-01-01
114.4,62,57,61,62,59,52,54,61,61,67,62,55,63,51,59,59,59,52,63,57,54,59,63,62,57,17,2005-01-01
122.4,58,54,58,58,55,50,54,57,61,62,58,54,59,50,55,56,55,52,59,53,52,54,55,59,50,18,2005-01-01
121.7,55,52,57,58,55,47,50,54,59,52,58,52,59,47,54,52,52,53,54,51,52,54,52,53,49,19,2005-01-01
121.2,54,48,55,55,54,46,48,52,57,52,54,48,54,46,54,49,48,50,54,49,51,48,54,54,48,20,2005-01-01
119.2,52,46,50,54,54,47,47,54,55,50,55,52,57,47,51,47,46,50,52,47,48,46,52,52,45,21,2005-01-01
114.5,51,46,48,53,48,44,45,52,55,48,50,48,54,46,49,48,46,48,50,46,47,46,51,50,44,22,2005-01-01
107.9,51,46,45,53,54,45,44,52,55,46,49,48,54,46,50,46,48,46,50,46,46,46,51,49,43,23,2005-01-01
102.2,50,46,43,50,48,45,42,52,54,45,49,48,50,49,48,45,48,45,55,44,45,45,49,47,44,0,2005-01-02
99.6,48,46,42,52,48,44,41,52,52,43,47,45,50,48,47,46,48,45,52,44,45,45,47,47,42,1,2005-01-02
99.2,47,46,39,51,48,42,42,50,52,43,50,45,50,50,46,46,46,44,57,42,44,45,47,46,42,2,2005-01-02
101.2,46,46,40,51,46,41,41,48,48,35,50,45,46,49,46,46,45,46,50,42,45,45,45,45,41,3,2005-01-02
103.9,46,45,39,44,48,41,42,48,48,36,48,45,50,52,45,46,45,45,46,43,44,45,43,44,43,4,2005-01-02
109,45,43,37,42,46,44,42,46,48,38,47,43,46,55,44,47,43,45,48,42,45,45,41,45,44,5,2005-01-02
116.9,44,43,38,44,45,43,41,46,48,40,46,45,54,55,44,46,41,46,50,42,45,45,41,44,45,6,2005-01-02
129,44,43,39,46,43,46,41,46,50,41,47,46,54,57,43,48,39,50,48,43,45,45,43,43,47,7,2005-01-02
142.2,44,48,40,49,52,50,49,52,52,50,49,48,55,59,51,53,45,53,52,49,48,48,46,51,48,8,2005-01-02
137.1,51,52,44,57,61,53,56,59,52,59,56,52,59,63,55,61,48,60,59,55,53,59,54,56,53,9,2005-01-02
121.8,57,57,50,62,66,58,61,64,55,63,58,59,61,65,58,65,59,65,63,62,57,61,63,62,59,10,2005-01-02
107.3,62,61,55,65,70,60,65,68,61,66,61,61,63,67,64,67,64,66,64,67,53,64,66,66,63,11,2005-01-02
101.2,65,61,61,65,72,63,67,72,63,68,63,64,63,64,67,68,64,68,64,68,59,65,68,70,65,12,2005-01-02
97.2,68,61,61,66,73,63,67,72,63,68,64,66,64,65,68,67,66,66,64,69,55,66,70,70,67,13,2005-01-02
94.9,70,61,61,66,73,61,67,72,61,70,65,64,64,62,67,67,66,66,64,70,55,67,70,71,66,14,2005-01-02
93.3,70,61,62,66,73,58,65,72,61,70,65,64,64,61,65,66,66,64,64,69,56,68,70,68,65,15,2005-01-02
95.5,70,61,60,64,70,54,62,68,57,64,62,59,63,59,62,63,64,62,64,62,54,64,70,64,63,16,2005-01-02
112.4,66,54,57,60,61,50,58,63,57,57,59,54,61,52,56,60,57,58,63,60,52,64,59,59,54,17,2005-01-02
121.5,61,55,56,58,59,49,52,59,55,57,56,54,61,54,55,57,55,56,61,57,51,59,54,59,53,18,2005-01-02
122.5,58,54,55,54,55,48,51,59,55,52,55,50,59,53,57,53,54,54,61,55,48,55,50,55,49,19,2005-01-02
121.9,56,52,52,56,54,48,50,59,55,54,54,50,59,54,54,51,54,53,57,51,48,52,50,54,48,20,2005-01-02
118.6,54,48,51,54,50,46,48,54,55,50,54,48,55,57,53,49,52,52,57,50,48,48,48,51,48,21,2005-01-02
111.4,53,48,47,52,50,46,48,54,55,50,53,48,54,50,51,47,48,51,55,48,47,48,46,54,52,22,2005-01-02
102.2,52,46,46,52,48,43,44,50,54,48,52,46,54,52,49,49,46,50,52,48,47,48,45,48,52,23,2005-01-02
96.7,51,46,45,48,48,43,44,50,54,46,49,43,50,55,49,47,46,51,52,44,45,46,45,46,48,0,2005-01-03
94.8,49,46,45,46,48,45,45,50,54,45,49,45,50,55,47,46,45,53,52,44,44,46,45,48,48,1,2005-01-03
95,48,46,42,48,46,45,45,48,52,46,49,43,50,53,45,46,45,52,48,44,46,45,43,46,44,2,2005-01-03
97.8,47,45,42,48,46,44,44,46,52,46,45,41,46,54,46,46,45,53,50,42,46,45,41,47,43,3,2005-01-03
103,46,46,40,48,45,42,43,45,54,46,46,41,46,56,46,48,43,52,50,46,44,45,43,46,45,4,2005-01-03
114.3,45,46,41,45,43,41,43,45,55,46,45,41,48,56,45,47,43,50,50,47,45,45,43,47,44,5,2005-01-03
130.4,44,46,41,44,43,42,43,45,55,45,47,41,50,55,46,46,41,51,52,47,47,45,41,48,44,6,2005-01-03
136.4,44,46,40,46,43,43,45,45,55,43,47,39,52,52,47,46,41,52,50,47,50,46,41,48,45,7,2005-01-03
131.3,44,52,41,49,52,50,50,52,55,50,52,46,54,56,53,49,45,54,54,49,54,54,48,51,50,8,2005-01-03
121.5,51,54,48,55,61,53,54,59,57,55,57,54,59,62,58,53,54,56,57,51,57,54,54,57,55,9,2005-01-03
111.1,57,61,54,61,68,58,62,64,59,61,60,57,61,63,64,62,61,64,59,62,63,64,61,64,61,10,2005-01-03
103.2,62,66,60,63,70,62,68,70,63,68,63,59,64,64,66,67,66,64,63,67,66,69,68,67,65,11,2005-01-03
96,65,67,63,67,70,65,70,70,64,70,65,63,66,60,67,69,68,64,64,71,66,73,68,69,69,12,2005-01-03
92.1,68,67,62,66,71,67,71,70,64,70,66,64,68,61,68,69,68,65,64,70,68,73,68,69,68,13,2005-01-03
89.3,70,68,63,68,71,67,70,70,64,70,67,64,66,59,68,69,68,62,64,70,69,72,68,70,68,14,2005-01-03
88.2,70,66,62,66,72,65,69,70,63,70,67,64,68,57,69,66,68,59,66,65,67,70,68,69,68,15,2005-01-03
92.3,70,66,61,65,70,59,65,68,61,66,64,63,64,56,65,62,66,58,66,61,63,66,64,65,64,16,2005-01-03
112.1,66,63,59,63,63,57,60,63,61,63,63,61,61,54,63,58,63,57,64,56,61,63,59,62,61,17,2005-01-03
