"Pitch_angle"	"Pitch_angle_std"	"Hub_temperature"	"Hub_temperature_std"	"Generator_converter_speed"	"Generator_converter_speed_std"	"Generator_speed"	"Generator_speed_std"	"Generator_bearing_1_temperature"	"Generator_bearing_1_temperature_std"	"Generator_bearing_2_temperature"	"Generator_bearing_2_temperature_std"	"Generator_stator_temperature"	"Generator_stator_temperature_std"	"Gearbox_bearing_1_temperature"	"Gearbox_bearing_1_temperature_std"	"Gearbox_bearing_2_temperature"	"Gearbox_bearing_2_temperature_std"	"Gearbox_inlet_temperature"	"Gearbox_inlet_temperature_std"	"Gearbox_oil_sump_temperature"	"Gearbox_oil_sump_temperature_std"	"Nacelle_angle"	"Nacelle_temperature_std"	"Absolute_wind_direction"	"Outdoor_temperature_std"	"Grid_frequency"	"Grid_frequency_std"	"Rotor_speed"	"Rotor_speed_std"	"Rotor_bearing_temperature"	"Rotor_bearing_temperature_std"	"Nacelle_angle_c"	"AbsWindSin"	"AbsWindCos"	"Y"
"16108"	-1	0	28	0,039999999	1556,25	34,669998	1557,8199	34,740002	47,970001	0,28	42,549999	0,1	64,540001	0,63	63,98	0,25	68,860001	0,23	51,189999	0,11	57,16	0,14	270,60999	0,11	279,01999	0,090000004	50,02	0,0099999998	14,82	0,33000001	39,5	0,0099999998	270,60999	-0,987633701856383	0,156779051398639	519,739989
"15683"	-1	0	20,02	0,19	1231,77	30,799999	1233,03	30,870001	44,560001	0,25999999	40,470001	0,20999999	64,440002	0,55000001	61,919998	0,15000001	65,970001	0,090000004	55,810001	0,2	57,560001	0,13	352,29001	1,95	354,13	0,029999999	49,990002	0,0099999998	11,72	0,30000001	32,639999	0,039999999	352,29001	-0,10227169754334	0,994756502809408	228,867
"7800"	-1	0	16,52	0,41999999	1463,75	101,49	1464,9399	101,67	37,650002	0,74000001	40,060001	0,28999999	60,27	1,4	65,970001	1,2	69,57	1,39	56,290001	0,47	57,900002	0,19	189,85001	0,97000003	191,82001	0,039999999	49,98	0,0099999998	13,93	0,97000003	34,349998	0,07	189,85001	-0,204837899385842	-0,978795910787941	444,972989
"12843"	-1,01	0	9	0	993,72998	16,85	993,70001	16,879999	21,67	0,079999998	15,65	0,13	25,91	0,41	42,09	0,81999999	41,470001	1,29	34,580002	0,54000002	36,07	0,23999999	73,510002	0,039999999	67,190002	0,039999999	49,970001	0,0099999998	9,4300003	0,16	15,85	0,15000001	73,510002	0,921795516851663	0,387676443844833	92,1150022
"10051"	44,990002	0	29	0	2,6800001	0,0099999998	0	0,050000001	46,23	0,07	43,5	0,0099999998	56,450001	0,079999998	50,009998	0,17	52,349998	0,1	50,189999	0,20999999	54	0,2	36,200001	0,02	60,200001	0,22	49,990002	0,0099999998	0	0	34,02	0,079999998	36,200001	0,86776546204276	0,496973945882191	-1,319
"9389"	-1,01	0	22	0	1204,27	188,11	1205,02	188,42999	43,59	0,36000001	42,419998	0,090000004	60,540001	0,56	61,549999	1,3	66,290001	1,22	50,110001	0,89999998	57,950001	0,56999999	47,970001	0,28	41,639999	0,34999999	49,990002	0,0099999998	11,45	1,8	33,34	0,07	47,970001	0,664448099324376	0,747334411963095	227,843989
"4526"	-1	0	26	0	1337,77	13,41	1338,65	13,43	43,16	0,47	40,990002	0,2	59,400002	0,50999999	60,169998	0,18000001	62,630001	0,11	51,060001	0,22	52,16	0,2	107,54	0,50999999	122,71	0,1	50,009998	0,0099999998	12,73	0,13	32,720001	0,1	107,54	0,841416479405399	-0,540387183586938	308,551
"5814"	-0,55000001	1,0700001	20,049999	0,16	1785,66	41,900002	1787,4301	41,970001	41,950001	0,83999997	42,529999	0,15000001	66,879997	0,62	68,589996	1,42	72,580002	0,46000001	51,279999	3,74	58,950001	0,74000001	193,14999	1,01	191,05	0,039999999	49,970001	0,02	17,02	0,40000001	36,110001	0,029999999	193,14999	-0,191665553932054	-0,98146029743231	1344,49811
"9565"	-1	0	22	0	1784,71	25,43	1786,66	25,49	36,900002	0,89999998	36,189999	0,31	61,77	0,80000001	65,440002	0,58999997	70,199997	0,18000001	49	0,23	55,799999	0,17	266,67999	0,62	264,28	0,02	50	0,0099999998	17,01	0,23999999	38,509998	0,039999999	266,67999	-0,995020840206773	-0,099667083604403	1099,209
"20001"	1,62	1,83	19	0	1798,51	13,68	1800,55	13,71	30,67	0,13	36,98	0,090000004	67,25	0,52999997	73,43	0,30000001	73,349998	0,090000004	38,509998	0,27000001	52,130001	0,14	208,50999	0,07	210,28	0	49,970001	0,0099999998	17,15	0,13	34,5	0,0099999998	208,50999	-0,504226211181456	-0,863571611366188	2003,761
