Unnamed: 0,runtime,indic_collec,rang,vote_prec,release_year,North_America,Europe,Asia,Latin_America,Oceania,Africa,Drama,ComedyFamily,ThrillerCrime,Romance,ActionAdventure,WarWestern,HorrorMystery,SciFiFantasy,Animation,Intello,nb_prod_comp_S,nb_prod_comp_M,nb_prod_comp_L,big_awards_before_film_1,small_awards_before_film_1,big_awards_before_film_2,small_awards_before_film_2,big_awards_before_film_3,small_awards_before_film_3,big_awards_before_film_4,small_awards_before_film_4,big_awards_before_film_5,small_awards_before_film_5,big_awards_before_film_6,small_awards_before_film_6,big_awards_before_film_7,small_awards_before_film_7,big_awards_before_film_8,small_awards_before_film_8,big_awards_before_film_9,small_awards_before_film_9,big_awards_before_film_10,small_awards_before_film_10,big_awards_before_film,small_awards_before_film,budget
25720,119.0,0,-1.0,-1.0,2007,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7684281.0
4972,88.0,0,-1.0,-1.0,1996,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
8072,84.0,0,-1.0,-1.0,2012,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
9233,89.0,0,-1.0,-1.0,2014,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,-1.0
10575,13.0,0,-1.0,-1.0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
20523,90.0,0,-1.0,-1.0,2015,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
19279,108.0,0,-1.0,-1.0,2012,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26690557.0
11990,88.0,0,-1.0,-1.0,2014,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2070825.0
6730,100.0,0,-1.0,-1.0,2012,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
6892,92.0,0,-1.0,-1.0,1965,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
25306,96.0,0,-1.0,-1.0,1972,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
27459,91.0,0,-1.0,-1.0,2017,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0.0,0.0,0.0,10.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0
26279,108.0,0,-1.0,-1.0,2004,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
13492,138.0,0,-1.0,-1.0,1997,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,3,2,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122165300.0
6604,134.0,0,-1.0,-1.0,1990,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,2,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,2.0,1.0,-1.0
13925,108.0,0,-1.0,-1.0,2008,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1930878.0
11038,133.0,0,-1.0,-1.0,1939,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13990257.0
25083,97.0,0,-1.0,-1.0,2003,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
25877,129.0,0,-1.0,-1.0,2011,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-1.0
26851,100.0,0,-1.0,-1.0,2014,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
8596,104.0,1,6.0,4.7,1992,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
9169,84.0,0,-1.0,-1.0,1997,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
10408,75.0,0,-1.0,-1.0,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
26157,80.0,0,-1.0,-1.0,2010,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
4344,93.0,0,-1.0,-1.0,1997,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22905994.0
11091,135.0,0,-1.0,-1.0,1962,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7941064.0
6289,92.0,0,-1.0,-1.0,2010,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
7500,94.0,0,-1.0,-1.0,1993,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
30252,99.0,0,-1.0,-1.0,1999,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
26653,121.0,1,3.0,6.6,1995,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160857213.0
15986,80.0,0,-1.0,-1.0,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1.0,6.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
28844,103.0,0,-1.0,-1.0,1980,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,-1.0
1510,135.0,0,-1.0,-1.0,1996,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
23314,111.0,0,-1.0,-1.0,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
14620,195.0,0,-1.0,-1.0,1970,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83968846.0
21822,93.0,0,-1.0,-1.0,2012,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533811.0
